Zip_Code,Population,Population_Density,Housing_Units,Median_Home_Value,Occupied_Housing_Units,Median_Household_Income,Gender_Male,Gender_Female,Race_White,Race_Black,Race_Indian,Race_Asian,Race_Hawaiian,Race_Other,Race_Mixed,Whole_Family,Single_Guardian,Singles,Single_With_Roomate,Owned_With_Mortgage,Owned_No_Mortgage,Renter,Vacant,Full_Time,Part_Time,Unemployed
77062,"25,152","4,637","9,910","$160,100 ","9,408","$87,960 ","12,495","12,657","18,848","1,217",112,"3,219",31,998,727,"5,878","1,288","1,873",369,"5,239","2,275","1,894",502,"9,664","4,927","5,915"
77048,"15,294","1,380","6,501","$81,200 ","5,223","$36,818 ","7,047","8,247","1,740","12,371",53,118,4,771,237,"1,752","2,076","1,171",224,"2,057","1,211","1,955","1,278","4,335","2,468","5,484"
77055,"41,989","5,023","16,005","$230,300 ","14,152","$46,987 ","21,904","20,085","27,708","1,559",359,"1,492",16,"9,273","1,582","6,309","3,178","3,446","1,219","3,983","2,399","7,770","1,853","14,966","7,466","9,677"
77085,"16,074","3,036","4,857","$106,600 ","4,571","$49,466 ","7,879","8,195","5,886","5,226",120,326,4,"3,805",707,"2,436","1,242",726,167,"2,636",729,"1,206",286,"5,642","2,191","3,784"
77082,"49,900","3,975","23,058","$124,000 ","20,374","$50,294 ","23,719","26,181","19,857","16,229",260,"6,998",17,"4,649","1,890","7,488","4,631","6,816","1,439","6,304","1,484","12,586","2,684","20,248","8,809","10,447"
77080,"45,275","7,093","16,376","$130,600 ","14,741","$38,159 ","23,780","21,495","26,555","2,282",477,"1,513",13,"12,560","1,875","6,546","3,721","3,419","1,055","3,564","2,489","8,688","1,635","14,906","10,585","10,971"
77033,"27,965","4,680","10,082","$65,600 ","9,005","$27,272 ","13,239","14,726","3,318","21,074",98,128,9,"2,921",417,"2,813","3,809","2,021",362,"2,592","3,181","3,232","1,077","6,278","4,184","10,414"
77036,"71,969","10,113","30,117","$113,900 ","24,878","$28,266 ","38,001","33,968","28,218","12,398",809,"10,252",123,"16,538","3,631","9,360","6,963","6,481","2,074","2,838","2,502","19,538","5,239","17,204","15,985","16,067"
77043,"23,358","1,567","9,392","$140,800 ","8,251","$54,359 ","11,760","11,598","15,567","1,219",178,"1,769",23,"3,814",788,"4,071","1,680","1,973",527,"3,072","1,892","3,287","1,141","9,242","3,643","5,710"
77017,"32,561","3,745","10,770","$86,400 ","9,573","$35,586 ","16,542","16,019","20,419","1,025",270,"1,373",1,"8,445","1,028","4,814","2,369","1,931",459,"3,015","2,181","4,377","1,197","10,287","4,570","9,735"
77042,"36,385","5,821","20,521","$211,900 ","17,634","$46,159 ","17,769","18,616","18,164","9,758",200,"2,905",31,"4,037","1,290","5,470","3,101","7,478","1,585","3,288","1,748","12,598","2,887","16,471","6,867","6,411"
77489,"35,554","3,164","12,085","$108,900 ","11,516","$58,315 ","16,567","18,987","4,326","27,079",111,734,7,"2,531",766,"5,668","3,582","1,935",331,"7,467","1,605","2,444",569,"12,760","6,134","8,158"
77053,"28,954","2,352","8,651","$85,800 ","8,133","$46,568 ","14,029","14,925","9,347","13,006",157,278,16,"5,204",946,"4,083","2,667","1,165",218,"4,060","1,745","2,328",518,"10,188","5,615","7,484"
77013,"17,602","2,013","6,155","$84,900 ","5,192","$36,829 ","9,250","8,352","8,867","3,581",411,112,11,"3,950",670,"2,238","1,638","1,010",306,"1,262",999,"2,931",963,"5,742","3,482","4,891"
77099,"47,091","7,570","17,439","$96,300 ","15,167","$35,252 ","23,107","23,984","15,278","14,318",324,"7,084",26,"8,219","1,842","6,580","4,358","3,475",754,"4,711","1,599","8,857","2,272","13,659","8,289","12,007"
77035,"35,896","6,295","15,355","$156,300 ","13,071","$36,345 ","17,428","18,468","16,193","11,287",231,"1,930",14,"5,081","1,160","4,932","3,598","3,616",925,"3,932","1,872","7,267","2,284","12,094","5,768","8,741"
77021,"26,042","4,284","11,810","$83,900 ","10,003","$31,103 ","12,056","13,986","3,421","19,624",88,366,12,"2,035",496,"2,648","3,482","3,128",745,"2,213","2,309","5,481","1,807","6,815","4,723","8,984"
77026,"23,940","3,695","10,111","$59,600 ","8,364","$20,024 ","11,863","12,077","4,927","13,873",124,74,7,"4,304",631,"2,399","3,031","2,435",499,"1,236","2,258","4,870","1,747","4,441","3,839","8,809"
77093,"46,929","3,902","13,858","$75,200 ","12,415","$31,725 ","24,198","22,731","24,667","5,713",520,179,16,"14,162","1,672","6,231","3,644","2,006",534,"3,037","4,103","5,275","1,443","10,894","6,362","13,176"
77088,"49,660","4,440","17,680","$93,400 ","15,721","$40,896 ","24,066","25,594","14,596","23,948",423,"1,827",14,"7,631","1,221","7,006","4,975","3,102",638,"6,959","3,350","5,412","1,959","15,244","8,754","14,103"
77028,"16,808","1,833","6,457","$59,100 ","5,684","$29,389 ","8,118","8,690","2,077","12,595",47,20,4,"1,748",317,"1,800","2,251","1,417",216,"1,466","2,159","2,059",773,"4,318","2,324","5,761"
77034,"33,678","2,453","12,778","$99,700 ","11,043","$43,905 ","16,861","16,817","19,712","3,880",303,"1,201",29,"7,311","1,242","5,083","2,802","2,567",591,"3,844","1,523","5,676","1,735","11,990","6,425","6,928"
77004,"32,692","5,660","16,618","$191,700 ","12,802","$41,983 ","16,368","16,324","9,231","18,948",114,"2,085",12,"1,576",726,"2,628","2,647","5,903","1,624","2,632","1,434","8,736","3,816","9,054","8,505","10,288"
77024,"34,775","2,737","15,927","$658,600 ","14,410","$111,139 ","16,491","18,284","28,570",552,76,"4,106",20,776,675,"8,117","1,403","4,408",482,"6,085","4,259","4,066","1,517","12,325","5,683","9,871"
